T,FC,FN,IF
3,1,1,3
33,1,2,30
146,1,3,113
227,1,4,81
342,1,5,115
351,1,6,9
353,1,7,2
444,1,8,91
556,1,9,112
571,1,10,15
709,1,11,138
759,1,12,50
836,1,13,77
860,1,14,24
968,1,15,108
1056,1,16,88
1726,1,17,670
1846,1,18,120
1872,1,19,26
1986,1,20,114
2311,1,21,325
2366,1,22,55
2608,1,23,242
2676,1,24,68
3098,1,25,422
3278,1,26,180
3288,1,27,10
4434,1,28,1146
5034,1,29,600
5049,1,30,15
5085,1,31,36
5089,1,32,4
5089,1,33,0
5097,1,34,8
5324,1,35,227
5389,1,36,65
5565,1,37,176
5623,1,38,58
6080,1,39,457
6380,1,40,300
6477,1,41,97
6740,1,42,263
7192,1,43,452
7447,1,44,255
7644,1,45,197
7837,1,46,193
7843,1,47,6
7922,1,48,79
8738,1,49,816
10089,1,50,1351
10237,1,51,148
10258,1,52,21
10491,1,53,233
10625,1,54,134
10982,1,55,357
11175,1,56,193
11411,1,57,236
11442,1,58,31
11811,1,59,369
12559,1,60,748
12559,1,61,0
12791,1,62,232
13121,1,63,330
13486,1,64,365
14708,1,65,1222
15251,1,66,543
15261,1,67,10
15277,1,68,16
15806,1,69,529
16185,1,70,379
16229,1,71,44
16358,1,72,129
17168,1,73,810
17458,1,74,290
17758,1,75,300
18287,1,76,529
18568,1,77,281
18728,1,78,160
19556,1,79,828
20567,1,80,1011
21012,1,81,445
21308,1,82,296
23063,1,83,1755
24127,1,84,1064
25910,1,85,1783
26770,1,86,860
27753,1,87,983
28460,1,88,707
28493,1,89,33
29361,1,90,868
30085,1,91,724
32408,1,92,2323
35338,1,93,2930
36799,1,94,1461
37642,1,95,843
37654,1,96,12
37915,1,97,261
39715,1,98,1800
40580,1,99,865
42015,1,100,1435
42045,1,101,30
42188,1,102,143
42296,1,103,108
42296,1,104,0
45406,1,105,3110
46653,1,106,1247
47596,1,107,943
48296,1,108,700
49171,1,109,875
49416,1,110,245
50145,1,111,729
52042,1,112,1897
52489,1,113,447
52875,1,114,386
53321,1,115,446
53443,1,116,122
54433,1,117,990
55381,1,118,948
56463,1,119,1082
56485,1,120,22
56560,1,121,75
57042,1,122,482
62551,1,123,5509
62651,1,124,100
62661,1,125,10
63732,1,126,1071
64103,1,127,371
64893,1,128,790
71043,1,129,6150
74364,1,130,3321
75409,1,131,1045
76057,1,132,648
81542,1,133,5485
82702,1,134,1160
84566,1,135,1864
88682,1,136,4116
