intials,b,betas,time,LLF,converged
[0.05269782],0.031290021,[],0,-41.4681826,TRUE
[0.07656936],0.031290021,[],0,-41.4681826,TRUE
[0.08853465],0.031290021,[],0.015625,-41.4681826,TRUE
[0.03618588],0.031290021,[],0,-41.4681826,TRUE
[0.03140249],0.031290021,[],0,-41.4681826,TRUE
[0.01200786],0.031290021,[],0,-41.4681826,TRUE
[0.09005722],0.031290021,[],0,-41.4681826,TRUE
[0.02297507],0.031290021,[],0.015625,-41.4681826,TRUE
[0.03278205],0.031290021,[],0,-41.4681826,TRUE
[0.09867511],0.031290021,[],0,-41.4681826,TRUE
[0.02083719],0.031290021,[],0,-41.4681826,TRUE
[0.02564881],0.031290021,[],0,-41.4681826,TRUE
[0.03729844],0.031290021,[],0.015625,-41.4681826,TRUE
[0.06376112],0.031290021,[],0,-41.4681826,TRUE
[0.03831866],0.031290021,[],0,-41.4681826,TRUE
[0.09930013],0.031290021,[],0,-41.4681826,TRUE
[0.02806941],0.031290021,[],0,-41.4681826,TRUE
[0.06334506],0.031290021,[],0,-41.4681826,TRUE
[0.06640729],0.031290021,[],0,-41.4681826,TRUE
[0.08505339],0.031290021,[],0,-41.4681826,TRUE
[0.0333383],0.031290021,[],0,-41.4681826,TRUE
[0.0036982],0.031290021,[],0.015625,-41.4681826,TRUE
[0.02135112],0.031290021,[],0,-41.4681826,TRUE
[0.02513793],0.031290021,[],0,-41.4681826,TRUE
[0.0681549],0.031290021,[],0,-41.4681826,TRUE
[0.02244906],0.031290021,[],0,-41.4681826,TRUE
[0.0366645],0.031290021,[],0.015625,-41.4681826,TRUE
[0.03912431],0.031290021,[],0,-41.4681826,TRUE
[0.06123389],0.031290021,[],0,-41.4681826,TRUE
[0.09367784],0.031290021,[],0,-41.4681826,TRUE
[0.03502498],0.031290021,[],0,-41.4681826,TRUE
[0.03190021],0.031290021,[],0.015625,-41.4681826,TRUE
[0.09459503],0.031290021,[],0,-41.4681826,TRUE
[0.05139118],0.031290021,[],0,-41.4681826,TRUE
[0.00733791],0.031290021,[],0,-41.4681826,TRUE
[0.03558492],0.031290021,[],0.015625,-41.4681826,TRUE
[0.09347658],0.031290021,[],0,-41.4681826,TRUE
[0.07432305],0.031290021,[],0,-41.4681826,TRUE
[0.06525272],0.031290021,[],0,-41.4681826,TRUE
[0.09931588],0.031290021,[],0,-41.4681826,TRUE
[0.05101645],0.031290021,[],0.015625,-41.4681826,TRUE
[0.03941158],0.031290021,[],0,-41.4681826,TRUE
[0.02293919],0.031290021,[],0,-41.4681826,TRUE
[0.0538899],0.031290021,[],0,-41.4681826,TRUE
[0.03205713],0.031290021,[],0,-41.4681826,TRUE
[0.09137146],0.031290021,[],0.015625,-41.4681826,TRUE
[0.09718585],0.031290021,[],0,-41.4681826,TRUE
[0.04944435],0.031290021,[],0,-41.4681826,TRUE
[0.0075287],0.031290021,[],0,-41.4681826,TRUE
[0.02380136],0.031290021,[],0,-41.4681826,TRUE
[0.02824016],0.031290021,[],0,-41.4681826,TRUE
[0.0801804],0.031290021,[],0,-41.4681826,TRUE
[0.01176481],0.031290021,[],0,-41.4681826,TRUE
[0.06664673],0.031290021,[],0,-41.4681826,TRUE
[0.05827524],0.031290021,[],0.015625,-41.4681826,TRUE
[0.03376166],0.031290021,[],0,-41.4681826,TRUE
[0.00356839],0.031290021,[],0,-41.4681826,TRUE
[0.08504609],0.031290021,[],0,-41.4681826,TRUE
[0.01869908],0.031290021,[],0,-41.4681826,TRUE
[0.05154259],0.031290021,[],0.015625,-41.4681826,TRUE
[0.07031892],0.031290021,[],0,-41.4681826,TRUE
[0.0531865],0.031290021,[],0,-41.4681826,TRUE
[0.01259651],0.031290021,[],0,-41.4681826,TRUE
[0.07177854],0.031290021,[],0,-41.4681826,TRUE
[0.09175507],0.031290021,[],0,-41.4681826,TRUE
[0.06416475],0.031290021,[],0,-41.4681826,TRUE
[0.09362448],0.031290021,[],0,-41.4681826,TRUE
[0.01546354],0.031290021,[],0,-41.4681826,TRUE
[0.0723624],0.031290021,[],0.015625,-41.4681826,TRUE
[0.06063421],0.031290021,[],0,-41.4681826,TRUE
[0.09771085],0.031290021,[],0,-41.4681826,TRUE
[0.03161853],0.031290021,[],0,-41.4681826,TRUE
[0.00403687],0.031290021,[],0,-41.4681826,TRUE
[0.03960936],0.031290021,[],0.015625,-41.4681826,TRUE
[0.01968313],0.031290021,[],0,-41.4681826,TRUE
[0.00192451],0.031290021,[],0,-41.4681826,TRUE
[0.05376245],0.031290021,[],0,-41.4681826,TRUE
[0.08020001],0.031290021,[],0,-41.4681826,TRUE
[0.08417782],0.031290021,[],0,-41.4681826,TRUE
[0.0272098],0.031290021,[],0,-41.4681826,TRUE
[0.03740264],0.031290021,[],0,-41.4681826,TRUE
[0.00605482],0.031290021,[],0,-41.4681826,TRUE
[0.06251747],0.031290021,[],0.015625,-41.4681826,TRUE
[0.07862455],0.031290021,[],0,-41.4681826,TRUE
[0.02255342],0.031290021,[],0,-41.4681826,TRUE
[0.09642731],0.031290021,[],0,-41.4681826,TRUE
[0.07696631],0.031290021,[],0,-41.4681826,TRUE
[0.06909576],0.031290021,[],0.015625,-41.4681826,TRUE
[0.00270151],0.031290021,[],0,-41.4681826,TRUE
[0.00895086],0.031290021,[],0,-41.4681826,TRUE
[0.05315334],0.031290021,[],0,-41.4681826,TRUE
[0.04193219],0.031290021,[],0,-41.4681826,TRUE
[0.04336227],0.031290021,[],0,-41.4681826,TRUE
[0.0005198],0.031290021,[],0,-41.4681826,TRUE
[0.0004269],0.031290021,[],0,-41.4681826,TRUE
[0.09263867],0.031290021,[],0,-41.4681826,TRUE
[0.01624348],0.031290021,[],0.015625,-41.4681826,TRUE
[0.02215619],0.031290021,[],0,-41.4681826,TRUE
[0.09859466],0.031290021,[],0,-41.4681826,TRUE
[0.06286749],0.031290021,[],0,-41.4681826,TRUE
,,,0.0025,,100
