intials,b,betas,time,LLF,converged
[0.02773276 0.09395968],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04417927 0.06470035],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04104559 0.01987327],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.0607103 0.0424013],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.03864893 0.07802997],0.038648927,[0.07802997],0.015625,-39.09595695,FALSE
[0.07389068 0.04787726],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.09624811 0.03074815],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.0483262  0.00364277],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.03320828 0.04769809],0.033208281,[0.04769809],0.015625,-39.96555086,FALSE
[0.07680231 0.02637963],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.05445422 0.08270377],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04278804 0.06828386],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.01364666 0.07143304],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.06004264 0.04677834],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.05478359 0.04130296],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.06495914 0.0111792 ],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.08135971 0.04646407],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.02921078 0.04303346],0.029210779,[0.04303346],0.015625,-40.1844881,FALSE
[0.02942683 0.02411309],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.08742708 0.08402878],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.07949125 0.03623297],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.03965674 0.04106695],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.07359599 0.08114828],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.07038076 0.08012446],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.01830431 0.08020639],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.09543777 0.07730942],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.01014174 0.05691833],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.06862411 0.03456913],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04850257 0.09325513],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.03088632 0.03650703],0.030886315,[0.03650703],0.015625,-40.30918345,FALSE
[0.00416592 0.00699243],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04900534 0.0840233 ],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.06193981 0.02323986],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.02727904 0.06735069],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.01410036 0.00450905],0.01410036,[0.00450905],0.015625,-41.5471402,FALSE
[0.08619478 0.010576  ],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.04438651 0.06854226],0.052238926,[0.2753168],0.03125,-35.54277231,TRUE
[0.02190972 0.02248689],0.021909723,[0.02248689],0.015625,-40.88667508,FALSE
[0.0092093  0.02167955],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
[0.08604762 0.07014207],0.052238926,[0.2753168],0.015625,-35.54277231,TRUE
