intials,b,betas,time,LLF,converged
[0.00417986 0.04944719 0.0010505 ],0.037806346,[0.28647548 0.24437055],0.0625,-30.07963349,TRUE
[0.06128795 0.07217769 0.05980344],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.02615469 0.04082604 0.05209226],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.02375658 0.08974187 0.08980607],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.0016854  0.02935139 0.09262666],0.037806346,[0.28647548 0.24437055],0.0625,-30.07963349,TRUE
[0.02407638 0.00864482 0.05976123],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04706009 0.05924125 0.06747091],0.047060089,[0.05924125 0.06747091],0.046875,-37.24444819,FALSE
[0.0181571  0.09513965 0.02526731],-2210.216302,[-1.40630124 -0.4989542 ],0.171875,nan,FALSE
[0.03799514 0.09338114 0.06272367],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.07178381 0.07126324 0.03411802],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.01044225 0.06149943 0.0877824 ],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03276743 0.05775973 0.08108741],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03643745 0.01026588 0.00750263],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04369986 0.05078395 0.06574966],0.043699855,[0.05078395 0.06574966],0.03125,-37.62011234,FALSE
[0.06903773 0.05744956 0.00862579],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03667535 0.06716572 0.03593502],0.036675347,[0.06716572 0.03593502],0.046875,-38.18290735,FALSE
[0.08850308 0.05471367 0.04022078],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.02112848 0.07780367 0.01727591],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08387717 0.02109544 0.06869331],-1938.979597,[-1.39028094 -0.49819836],0.15625,nan,FALSE
[0.07634735 0.01854166 0.05270112],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.0509393  0.03347867 0.07127702],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.00655539 0.09855598 0.05677159],0.037806346,[0.28647548 0.24437055],0.0625,-30.07963349,TRUE
[0.02845698 0.02225463 0.06144538],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04193535 0.07892421 0.03204339],0.041935351,[0.07892421 0.03204339],0.046875,-37.85687788,FALSE
[0.01255611 0.06487068 0.06569131],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.00769363 0.06823107 0.0740675 ],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.09529064 0.03291718 0.01844642],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.09162793 0.08456749 0.08679381],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04101525 0.00260491 0.09789315],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.09771512 0.05297042 0.08732662],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03034228 0.04529851 0.05459571],0.037806346,[0.28647548 0.24437055],0.0625,-30.07963349,TRUE
[0.09681156 0.03576233 0.08744958],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08940464 0.02096167 0.07426922],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08819726 0.06538556 0.04105699],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04378424 0.00153727 0.07969495],0.043784244,[0.00153727 0.07969495],0.046875,-38.86674204,FALSE
[0.00166223 0.03311482 0.00245645],-2062.042463,[-1.39784652 -0.49855139],0.15625,nan,FALSE
[0.04375027 0.09873469 0.06345495],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08603688 0.01168008 0.05387338],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.00482924 0.03013426 0.09770993],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04289914 0.0948602  0.07546108],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03517937 0.00056344 0.03232429],0.035179368,[0.00056344 0.03232429],0.03125,-40.34060043,FALSE
[0.0221341  0.05365246 0.06390901],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.0337573  0.04308137 0.0367081 ],0.033757295,[0.04308137 0.0367081 ],0.046875,-38.89182205,FALSE
[0.04219755 0.06610363 0.01684536],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08159523 0.07021838 0.01871715],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.02832439 0.04692561 0.05375052],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03167136 0.0743861  0.05264014],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.08767965 0.08267365 0.06770265],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.06704914 0.0328221  0.08403536],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.06558634 0.02430331 0.02479692],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04898124 0.00537992 0.08318184],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.02578764 0.04651908 0.05084232],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.03590013 0.08124881 0.08854756],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.04968982 0.02237486 0.06343808],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
[0.05465077 0.0235116  0.06278828],0.037806346,[0.28647548 0.24437055],0.046875,-30.07963349,TRUE
