intials,b,betas,time,LLF,converged
[0.02596152 0.03444423 0.05134856 0.09069858],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.07781639 0.02018917 0.08338592 0.02499213],0.077816389,[0.02018917 0.08338592 0.02499213],0.0625,-36.44773203,FALSE
[0.06407991 0.0313279  0.06596216 0.05798954],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.08159593 0.01343349 0.01678277 0.05484567],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08256215 0.0225306  0.09257123 0.06507624],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08906848 0.07939289 0.08158699 0.08503858],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.0998426  0.02594865 0.03467063 0.08398101],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.08893733 0.06591103 0.0788725  0.08728611],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06223154 0.04313145 0.06881672 0.03366822],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08012191 0.03847393 0.07211436 0.00469442],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.04249646 0.07055445 0.0985127  0.01178697],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.00857554 0.08759654 0.07252801 0.03343839],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.0499939  0.07985618 0.05751988 0.00526843],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.07691768 0.06812692 0.07475639 0.02951131],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03780587 0.0678133  0.01306058 0.05934002],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08724345 0.01320352 0.03653944 0.0056194 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.00181896 0.09653224 0.02717128 0.04960055],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03176825 0.07223576 0.0249666  0.08667431],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.07770266 0.07599423 0.0056309  0.06697452],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02351888 0.04676771 0.0536889  0.07503515],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.05813351 0.06122207 0.06738474 0.02715465],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.01797963 0.01399177 0.08249762 0.05118067],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00200108 0.02426339 0.08349126 0.04379389],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03477402 0.09108207 0.04107743 0.01819691],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.08296345 0.00351208 0.05194528 0.03615822],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02798143 0.00640361 0.03925411 0.0921058 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00911268 0.00431012 0.03848301 0.03694817],-527.9056696,[ 0.01780465 -1.22411411 -0.57189656],0.296875,nan,FALSE
[0.08168801 0.06077423 0.0150912  0.08954558],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03822882 0.05796095 0.02013914 0.06161071],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.09107219 0.09920329 0.0579912  0.06994513],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04207287 0.09426273 0.08340208 0.00316369],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06972622 0.00316825 0.02543325 0.03951293],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.05455808 0.09293255 0.01154303 0.06131686],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.05663695 0.01266127 0.01762205 0.0009181 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04158289 0.09833132 0.07394866 0.00131478],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03325619 0.04278293 0.02306764 0.06618781],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.0441123  0.02548556 0.0327236  0.0909806 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.0741966  0.02526516 0.024125   0.06391428],0.0741966,[0.02526516 0.024125   0.06391428],0.0625,-36.77043029,FALSE
[0.02776081 0.01654275 0.09574417 0.02280658],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.02655805 0.03080036 0.02516471 0.09264731],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02301227 0.02944815 0.02967636 0.02239149],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.07310546 0.02908566 0.0177923  0.00770564],0.073105463,[0.02908566 0.0177923  0.00770564],0.0625,-37.69354029,FALSE
[0.07410418 0.0802564  0.00649716 0.06848801],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02371771 0.04632154 0.03800301 0.07433074],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04264715 0.09879651 0.08841871 0.07805903],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.09844387 0.0176749  0.09020813 0.03988356],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.07377317 0.08595841 0.08453491 0.05029355],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.03818728 0.04266245 0.02560239 0.01614401],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04909785 0.08364366 0.06108325 0.02739681],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02170743 0.01439817 0.05104904 0.02220247],-717.3132079,[ 0.01680098 -1.26522611 -0.56972813],0.3125,nan,FALSE
[0.0841659  0.09470009 0.03336107 0.01957632],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04651118 0.04134355 0.08785743 0.00815931],0.046511177,[0.04134355 0.08785743 0.00815931],0.078125,-32.75453467,FALSE
[0.07867023 0.03308709 0.01957112 0.0931054 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.0524174  0.02076998 0.09347041 0.0748365 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.09000395 0.09146722 0.02057924 0.04957928],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08939035 0.03995572 0.09471098 0.09372802],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.01709128 0.07651597 0.05660292 0.071244  ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.07562332 0.03865248 0.07636415 0.04701024],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00050106 0.01338359 0.02070505 0.08355216],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.02342809 0.02287149 0.04470693 0.05593138],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.00831476 0.08510959 0.04294741 0.04550803],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.09758243 0.00957174 0.01705811 0.06688831],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00144468 0.07556729 0.0116643  0.05572886],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.06557977 0.05901638 0.04968685 0.03480175],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.05847269 0.08707924 0.08063032 0.05081919],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02700559 0.06348286 0.09300572 0.03934621],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.05328606 0.07685468 0.0675715  0.09358656],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.02198436 0.01461097 0.04037303 0.07348866],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00695039 0.06069871 0.03016414 0.00947867],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02224547 0.08749008 0.02673093 0.00155172],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.00089265 0.04081286 0.09257022 0.01813923],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.02061212 0.03609208 0.07096495 0.03863963],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06171503 0.00152717 0.02960844 0.08012046],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04888016 0.07627929 0.07053929 0.05982657],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06527976 0.07420953 0.0941822  0.01680537],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.0369132  0.09185705 0.0019101  0.01917691],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04374788 0.00338699 0.03885278 0.00134222],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.07786568 0.09250438 0.01847166 0.01859893],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06486806 0.0227374  0.04156215 0.06160221],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.06656175 0.04282445 0.06378284 0.00430393],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08381526 0.00968371 0.09974519 0.06038542],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.01564112 0.03589509 0.03764707 0.00790849],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.09538118 0.00457804 0.00930273 0.06569538],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00710158 0.02711229 0.05555793 0.01996533],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04304538 0.06242916 0.06094896 0.04508721],0.026191997,[0.03132722 0.21774224 0.17702043],0.0625,-28.40418701,TRUE
[0.01614929 0.00856931 0.00842691 0.05221855],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.09350868 0.06867917 0.08474974 0.0813155 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.05630834 0.06930187 0.01732879 0.05431677],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.09957025 0.0069442  0.06691717 0.0788989 ],0.099570253,[0.0069442  0.06691717 0.0788989 ],0.078125,-39.32386592,FALSE
[0.02555211 0.04588634 0.0252745  0.0065745 ],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.07695439 0.04634038 0.02347705 0.01680544],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.0663032  0.06104447 0.00480212 0.08297663],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.04841977 0.01948681 0.07522348 0.02288633],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.08336895 0.01088854 0.0712119  0.02071157],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.00297394 0.05518945 0.05878853 0.01127583],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.01615325 0.00722599 0.04633053 0.06714719],0.026191997,[0.03132722 0.21774224 0.17702043],0.09375,-28.40418701,TRUE
[0.0311935  0.0264037  0.04645489 0.03073529],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
[0.06321063 0.08035887 0.00209899 0.08351111],0.026191997,[0.03132722 0.21774224 0.17702043],0.078125,-28.40418701,TRUE
