intials,b,betas,time,LLF,converged
[0.04789442 0.05690234 0.01948775],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.04500759 0.02864188 0.0154563 ],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03971186 0.01240479 0.00283667],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09155604 0.09880356 0.08426991],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09207502 0.00707176 0.07007996],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06620603 0.05769796 0.04231392],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05146477 0.04113247 0.04463443],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05898024 0.01889415 0.00987092],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09851885 0.03587541 0.03289919],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.04331793 0.08296941 0.01069562],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.05025177 0.07095932 0.03731262],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05254555 0.062222   0.08432177],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.08084858 0.07082737 0.07291373],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03954492 0.08261378 0.02286969],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.07982112 0.07828019 0.06274804],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.07563693 0.01763946 0.09707492],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05894392 0.00635    0.09067516],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00997856 0.09453001 0.04993944],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.00611501 0.07694482 0.04019657],0.006115009,[0.07694482 0.04019657],0.046875,-32.54072104,FALSE
[0.0755767  0.09612372 0.00149199],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09138252 0.06301591 0.0239286 ],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01099011 0.02678463 0.04319537],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03997008 0.05083296 0.09666992],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.049695   0.09096595 0.04312242],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.07243112 0.03854222 0.03674034],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06675252 0.04971497 0.08531345],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.02734864 0.00231082 0.00696374],-477.1171235,[-1.71649554 -0.06466244],0.15625,nan,FALSE
[0.02366325 0.08174287 0.07666258],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06943774 0.05075    0.095513  ],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.08081758 0.0204047  0.00798104],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.0360944  0.09111754 0.06533445],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01478763 0.09146767 0.00950459],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06494014 0.06153323 0.02940615],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.02369698 0.09773583 0.04577727],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09846327 0.0115494  0.03935882],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00595076 0.01617455 0.05460994],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09989127 0.09416933 0.09227498],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06432343 0.01362981 0.01464143],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00993508 0.02567932 0.00532823],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03662974 0.04716406 0.0380257 ],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09227676 0.00943535 0.0230861 ],0.092276764,[0.00943535 0.0230861 ],0.046875,-41.2994243,FALSE
[0.03292025 0.01406866 0.08466109],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.0716323  0.03971625 0.08482652],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05439389 0.03177875 0.05091523],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.01924835 0.03255601 0.02799375],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.01645531 0.01647591 0.07808187],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00144703 0.00515691 0.03332777],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.002353   0.05411466 0.05396149],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.0942807  0.04800106 0.04611792],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.08663689 0.0167539  0.07429483],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01572697 0.09657073 0.07371025],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01915895 0.08958628 0.03608166],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01521911 0.06528592 0.06241858],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.06705686 0.00394369 0.04138574],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.07185975 0.08622505 0.02359667],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03631627 0.04499336 0.074785  ],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.08093791 0.05563482 0.02173007],0.080937909,[0.05563482 0.02173007],0.03125,-38.03643363,FALSE
[0.04746569 0.00410545 0.01230825],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.05038617 0.00430508 0.00835518],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.0256139  0.03035475 0.05061905],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.01387171 0.04498376 0.09143524],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.00131686 0.05870163 0.03713442],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.08538079 0.06042724 0.02391223],0.085380786,[0.06042724 0.02391223],0.03125,-39.04860342,FALSE
[0.09229176 0.08095898 0.05365704],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.09841246 0.00856143 0.07921104],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.04319069 0.01901278 0.01389534],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09779655 0.03034272 0.02651811],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03500406 0.00025154 0.02720838],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05741907 0.05630067 0.08999427],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.05987921 0.08681815 0.06014125],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00539377 0.00062443 0.02286037],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.0020378  0.03351954 0.09594548],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.02312085 0.02573683 0.03804642],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09202053 0.03250237 0.081101  ],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.07262532 0.04881106 0.00171455],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09948467 0.04177252 0.08332224],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.00197741 0.05824421 0.00818328],0.001977406,[0.05824421 0.00818328],0.046875,-38.49455621,FALSE
[0.04634436 0.09696313 0.07502886],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.01415475 0.05523547 0.01101983],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.06685148 0.07315347 0.07873971],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09635819 0.04560868 0.08270441],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.00923239 0.09129536 0.02957017],0.009232386,[0.09129536 0.02957017],0.03125,-33.33303648,FALSE
[0.09174776 0.09108932 0.03062692],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.05931078 0.09189558 0.01381627],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.00705283 0.02462489 0.02917888],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.02731429 0.08885753 0.03825816],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.0070347  0.09910021 0.04946018],0.007034703,[0.09910021 0.04946018],0.03125,-31.8443474,FALSE
[0.01751662 0.05804975 0.07314422],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.02587523 0.01042587 0.04599919],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.04727087 0.01847139 0.05491747],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.08345114 0.03977431 0.01420889],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.0918695  0.05002659 0.01311101],0.021396318,[0.1396797 0.0514606],0.03125,-30.02494829,TRUE
[0.09743603 0.02248578 0.01264999],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.09277931 0.08631112 0.00955592],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.01636342 0.05500581 0.00144055],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.03966835 0.09525406 0.0749686 ],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.08808264 0.09498323 0.07969552],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.08896004 0.00920493 0.00508704],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
[0.02208063 0.0400738  0.01833771],0.021396318,[0.1396797 0.0514606],0.046875,-30.02494829,TRUE
