intials,b,betas,time,LLF,converged
[0.09712309 0.00756811],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06787336 0.02700669],0.093616829,[0.49856936],0.03125,-24.93183588,TRUE
[0.00062026 0.07009619],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.07366094 0.07564533],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.09522145 0.0466605 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05438771 0.07592599],0.054387707,[0.07592599],0.015625,-29.37578742,FALSE
[0.05834849 0.04879108],0.058348493,[0.04879108],0.015625,-29.47610497,FALSE
[0.00202562 0.01592611],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.07065558 0.08318424],0.070655583,[0.08318424],0.015625,-28.69734595,FALSE
[0.02986103 0.0650326 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.01073827 0.02559382],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04722623 0.08934518],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02829913 0.0341746 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08870956 0.06826288],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0268342  0.03164975],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0553146  0.01959322],0.055314598,[0.01959322],0.015625,-29.88911834,FALSE
[0.03512093 0.0916303 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08078238 0.00924542],0.093616829,[0.49856936],0,-24.93183588,TRUE
[0.01602865 0.07682291],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.00237869 0.0570535 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06427149 0.00943624],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.09687966 0.05787231],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04700992 0.05140144],0.047009918,[0.05140144],0.015625,-29.90935379,FALSE
[0.00584323 0.06920649],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08899224 0.09430658],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06003227 0.02887822],0.06003227,[0.02887822],0.015625,-29.6322702,FALSE
[0.08091611 0.03398598],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02319703 0.01644313],-4578.459071,[-4.35736283],0.046875,nan,FALSE
[0.09345047 0.04241378],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.01884624 0.09474188],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05611906 0.09485334],0.056119063,[0.09485334],0.015625,-29.13769072,FALSE
[0.07583122 0.04796715],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0237025 0.0113092],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04310302 0.08662515],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.09656091 0.02441333],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0012913  0.08957253],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06771661 0.09996322],0.067716607,[0.09996322],0.015625,-28.61973006,FALSE
[0.00021647 0.01121106],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04303313 0.01922502],0.043033133,[0.01922502],0.015625,-30.35742113,FALSE
[0.02267313 0.06307724],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.03193615 0.00971465],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08198101 0.07933319],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08372936 0.03786854],0.093616829,[0.49856936],0,-24.93183588,TRUE
[0.00805003 0.05335552],0.093616829,[0.49856936],0,-24.93183588,TRUE
[0.09077883 0.03647631],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06593113 0.05965837],0.065931126,[0.05965837],0.015625,-29.10367022,FALSE
[0.05897167 0.02780785],0.058971668,[0.02780785],0.015625,-29.67824625,FALSE
[0.03864011 0.08278899],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06499438 0.01471701],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05238052 0.01287591],0.052380517,[0.01287591],0.015625,-30.06158114,FALSE
[0.09013991 0.02887843],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08003482 0.04300336],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0835458  0.02756841],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06158199 0.04751555],0.061581988,[0.04751555],0.015625,-29.37743355,FALSE
[0.03664295 0.02603825],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02579164 0.01185823],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04960949 0.06231915],0.049609494,[0.06231915],0.015625,-29.70226343,FALSE
[0.00628159 0.01489884],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.01179014 0.08361705],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05235794 0.04768884],0.052357936,[0.04768884],0.015625,-29.71502428,FALSE
[0.08475177 0.05804016],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.09683353 0.05107698],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06848361 0.02328992],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02115621 0.02566277],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.00817567 0.0989735 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04955754 0.04518358],0.049557538,[0.04518358],0.015625,-29.85278567,FALSE
[0.08554237 0.03313418],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05987614 0.09633791],0.059876139,[0.09633791],0.015625,-28.96064368,FALSE
[0.09978135 0.01569256],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.03409989 0.09908537],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.0194781  0.04729039],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02792656 0.09510764],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.00558578 0.05970021],0.093616829,[0.49856936],0,-24.93183588,TRUE
[0.05013525 0.07713686],0.093616829,[0.49856936],0,-24.93183588,TRUE
[0.00834197 0.05933079],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02038284 0.04421845],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.09451895 0.08756461],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.02534882 0.08808719],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06389637 0.023922  ],0.063896374,[0.023922],0.015625,-29.57283404,FALSE
[0.03803418 0.07997642],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.04123092 0.05500339],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.08436323 0.00291702],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.05308555 0.06925449],0.053085546,[0.06925449],0.015625,-29.49020525,FALSE
[0.03589181 0.0815038 ],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.07088319 0.03672777],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.00345663 0.09930207],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.076715   0.07392011],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.01212042 0.02586196],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
[0.06104182 0.04728663],0.061041818,[0.04728663],0.015625,-29.39801251,FALSE
[0.04795386 0.0307056 ],0.047953858,[0.0307056],0.015625,-30.05061094,FALSE
[0.03705424 0.08367108],0.093616829,[0.49856936],0.015625,-24.93183588,TRUE
