intials,b,betas,time,LLF,converged
[0.0334305  0.00508898 0.06840996],0.0334305,[0.00508898 0.06840996],0.03125,-28.92705274,FALSE
[0.06552146 0.00099283 0.0600634 ],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.0277251  0.04778154 0.00449555],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.02555605 0.02058599 0.04523643],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.07685625 0.07933452 0.05733888],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.03774608 0.01861695 0.09389489],0.037746081,[0.01861695 0.09389489],0.015625,-26.69189514,FALSE
[0.00658039 0.00118633 0.00360627],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.08376532 0.07403684 0.01708001],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.07370598 0.05369753 0.0353562 ],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.03852601 0.03477923 0.00364975],0.038526013,[0.03477923 0.00364975],0.03125,-26.01549111,FALSE
[0.05267031 0.08739115 0.01492171],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.03747358 0.08115114 0.09884667],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.07987249 0.01043441 0.0965939 ],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.015859   0.02109894 0.04714393],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.04409057 0.05231342 0.05395428],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.0542406  0.05965949 0.04243319],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.07764726 0.08117343 0.06792511],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.06874376 0.03010845 0.07043399],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.08632162 0.07985269 0.08285614],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.02983366 0.04207007 0.0962358 ],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.0389753  0.06708709 0.09170636],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.07930061 0.04630812 0.03643808],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.05108975 0.0324779  0.08072414],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.06140538 0.05059526 0.02637397],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.01341954 0.09660504 0.01435252],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.05148208 0.02581953 0.02210911],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.00813426 0.01221777 0.00428026],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.0419358  0.06161435 0.07570318],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.07709122 0.0166575  0.04692295],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
[0.00499041 0.02847654 0.03196595],-595.9104844,[ 0.28454552 -3.91399778],0.109375,nan,FALSE
[0.07024471 0.05455065 0.00112732],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.06342479 0.00892721 0.0467609 ],0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
[0.05726756 0.08987274 0.05360749],0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
