b,betas,time,LLF,converged
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
0.994,[0.01],0.015625,-40.105364,FALSE
,,0.01375,,0
