b,betas,time,LLF,converged
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.015625,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.046875,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.046875,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.046875,-40.02066738,FALSE
0.994,[0.01 0.01],0.046875,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.015625,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
0.994,[0.01 0.01],0.03125,-40.02066738,FALSE
,,0.0315625,,0
