b,betas,time,LLF,converged
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.015625,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
