b,betas,time,LLF,converged
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0.015625,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
0.1,[0.01],0,-37.70454082,FALSE
,,0.011875,,0
