b,betas,time,LLF,converged
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.03125,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
0.1,[0.01],0.015625,-36.23330092,FALSE
,,0.016875,,0
