data set,model,covariates,b estimate (minimize),beta estimate(minimize),b,beta,time,LLF,correct LLF,calc - correct LLF,converged
DS1,DW,-,0.994194141,[],0.99418227,[],0.014375,-35.37187468,-35.37187468,3.02E-09,TRUE
DS1,DW,E,0.99522791,[0.15517023],0.995227942,[0.1552065],0.09875,-33.2,-33.19995194,4.81E-05,TRUE
DS1,DW,F,0.997767545,[0.04494959],0.997769455,[0.04496836],0.0796875,-29.4703137,-29.4703137,1.71E-09,TRUE
DS1,DW,C,0.995526006,[0.13678615],0.995526365,[0.13681203],0.164375,-33.04090113,-33.04090113,-1.21E-09,TRUE
DS1,DW,EF,0.997676743,"[-0.01455031,  0.04411936]",0.99777558,[0.05936205 0.04149497],0.1896875,-29.20342903,-29.20342903,3.52E-09,TRUE
DS1,DW,FC,0.997650189,"[ 0.04441201, -0.02409379]",0.997757055,[0.04093536 0.04754853],0.17875,-29.27885983,-29.27885983,-4.74E-09,TRUE
DS1,DW,EC,0.996349989,"[0.1425263,  0.12332611]",0.996350833,[0.14263609 0.12336662],0.25,-31.41475287,-31.41475287,1.50E-09,TRUE
DS1,DW,EFC,0.99737412,"[-0.04790667,  0.03974142,  0.01565919]",0.997815971,[0.07130788 0.03619626 0.0584351 ],0.288125,-28.91369384,-28.91369384,-4.14E-09,TRUE
DS2,DW,-,0.98938916,[],0.989381182,[],0.0103125,-37.29405579,-37.29405579,6.50E-10,TRUE
DS2,DW,E,0.990556279,[0.18470534],0.990556622,[0.18466703],0.1090625,-36.4317963,-36.4317963,-1.57E-09,TRUE
DS2,DW,F,0.992310667,[0.04258226],0.992309293,[0.04254664],0.05375,-33.39672808,-33.39672808,3.68E-10,TRUE
DS2,DW,C,0.992181905,[0.22532728],0.992182362,[0.22536356],0.0590625,-34.6132848,-34.6132848,3.90E-09,TRUE
DS2,DW,EF,0.992374726,"[-0.00948133,  0.04435244]",0.992886921,[-0.58420992  0.0963161 ],0.1084375,-31.34126756,-31.34126756,-2.09E-09,TRUE
DS2,DW,FC,0.992533816,"[0.0370186,  0.05000749]",0.9925341,[0.03702465 0.04999671],0.155,-33.33843769,-33.33843769,-1.42E-09,TRUE
DS2,DW,EC,0.989538104,"[0.01004822, 0.01050751]",0.992471357,[-0.40596819  0.46307447],0.0646875,-33.63866854,-33.63866854,6.76E-10,TRUE
DS2,DW,EFC,0.992713835,"[-0.04254006,  0.04424609,  0.04652629]",0.994061885,[-0.84634737  0.08616175  0.30395831],0.2009375,-29.86953656,-29.86953656,1.16E-09,TRUE
DS1,GM,-,0.0313125,[],0.031290021,[],0.0084375,-41.4681826,-41.4681826,-4.36E-09,TRUE
DS1,GM,E,0.059761735,[0.2836724],0.059768101,[0.28368348],0.06375,-36.1263529,-36.1263529,-1.28E-09,TRUE
DS1,GM,F,0.014724735,[0.05893061],0.014751145,[0.05895853],0.04125,-31.2134606,-31.2134606,4.53E-09,TRUE
DS1,GM,C,0.052239513,[0.27534862],0.052238926,[0.2753168],0.0540625,-35.54277231,-35.54277231,3.42E-09,TRUE
DS1,GM,EF,0.02139362,"[0.13971425, 0.0514685 ]",0.021396318,[0.1396797 0.0514606],0.14125,-30.02494829,-30.02494829,3.12E-09,TRUE
DS1,GM,FC,0.022242584,"[0.05074355, 0.08678101]",0.0222431,[0.05075008 0.08672168],0.1421875,-30.89287538,-30.89287538,4.41E-09,TRUE
DS1,GM,EC,0.037809452,"[0.28648031, 0.24435197]",0.037806346,[0.28647548 0.24437055],0.1653125,-30.07963349,-30.07963349,-4.89E-09,TRUE
DS1,GM,EFC,0.026184939,"[0.21775179, 0.03133514, 0.17700772]",0.026191997,[0.21774224 0.03132722 0.17702043],0.318125,-28.40418701,-28.40418701,3.06E-09,TRUE
DS2,GM,-,0.1019375,[],0.101937923,[],0.0075,-29.378,-29.37797106,2.89E-05,TRUE
DS2,GM,E,0.093613525,[0.49861872],0.093616829,[0.49856936],0.046875,-24.93183588,-24.93183588,5.04E-10,TRUE
DS2,GM,F,0.072912645,[0.05894698],0.072939248,[0.05893731],0.0371875,-23.29089438,-23.29089438,-1.36E-09,TRUE
DS2,GM,C,0.077110233,[0.35004545],0.077121316,[0.35000826],0.0421875,-24.32516162,-24.32516162,-4.17E-09,TRUE
DS2,GM,EF,0.074773565,"[0.06554682, 0.05366072]",0.074771882,[0.06552505 0.05366129],0.11625,-23.26950772,-23.26950772,3.54E-09,TRUE
DS2,GM,FC,0.070326726,"[0.04467536, 0.1287967 ]",0.070326003,[0.04467209 0.12881489],0.1046875,-23.01250872,-23.01250872,-3.42E-09,TRUE
DS2,GM,EC,0.079421345,"[0.19881843, 0.24490816]",0.07942313,[0.19881497 0.24491958],0.115625,-24.09369398,-24.09369398,1.32E-09,TRUE
DS2,GM,EFC,0.069365429,"[-0.03645882,  0.04664729,  0.13732403]",0.069363787,[-0.03643947  0.04664847  0.13732605],0.2228125,-23.00672947,-23.00672947,-1.40E-09,TRUE
DS1,NB,-,0.137625,[],0.137654932,[],0.01875,-36.40994169,-36.40994169,-1.04E-10,TRUE
DS1,NB,E,0.132465663,[0.22082872],0.13247065,[0.22086559],0.093125,-32.30744747,-32.30744747,2.96E-10,TRUE
DS1,NB,F,0.079436892,[0.04828457],0.079477199,[0.04828137],0.0728125,-28.80044371,-28.80044371,4.78E-09,TRUE
DS1,NB,C,0.123814267,[0.20144107],0.123836038,[0.20141395],0.0775,-31.95652207,-31.95652207,4.94E-09,TRUE
DS1,NB,EF,0.082920347,"[0.10261054, 0.04160795]",0.082914068,[0.10265159 0.04161186],0.1825,-28.05234505,-28.05234505,2.26E-09,TRUE
DS1,NB,FC,0.083718375,"[0.04069027, 0.07895116]",0.083716666,[0.04068552 0.07896959],0.1815625,-28.37366081,-28.37366081,3.01E-09,TRUE
DS1,NB,EC,0.108376076,"[0.19512661, 0.17058878]",0.108375806,[0.19512124 0.1705835 ],0.2,-28.97257171,-28.97257171,3.70E-09,TRUE
DS1,NB,EFC,0.084766614,"[0.12713506, 0.03063697, 0.10215062]",0.084788734,[0.12707767 0.03063154 0.10213574],0.435,-27.28736927,-27.28736927,-2.74E-09,TRUE
DS2,NB,-,0.2235625,[],0.22359297,[],0.015625,-30.561,-30.56096927,3.07E-05,TRUE
DS2,NB,E,0.200175647,[0.32234907],0.200181333,[0.32235668],0.060625,-28.059,-28.05899337,6.63E-06,TRUE
DS2,NB,F,0.175916238,[0.04888122],0.175943465,[0.04885447],0.058125,-25.73037935,-25.73037935,-3.52E-10,TRUE
DS2,NB,C,0.17776356,[0.27309562],0.177751049,[0.27312263],0.05875,-26.80690199,-26.80690199,-1.97E-09,TRUE
DS2,NB,EF,0.171590986,"[-0.18361577,  0.06550551]",0.171590746,[-0.18365447  0.065508  ],0.1184375,-25.51511845,-25.51511845,7.04E-10,TRUE
DS2,NB,FC,0.17139502,"[0.03937517, 0.08205747]",0.171391416,[0.03937177 0.08208388],0.1321875,-25.59429639,-25.59429639,4.54E-09,TRUE
DS2,NB,EC,0.176520139,"[-0.06064382,  0.30866115]",0.176520643,[-0.06065841  0.30866517],0.15625,-26.784,-26.78400404,-4.04E-06,TRUE
DS2,NB,EFC,0.159039266,"[-0.34683395,  0.05828574,  0.18952137]",0.159037382,[-0.34683774  0.05828237  0.18953862],0.3975,-25.00059216,-25.00059216,-4.32E-09,TRUE
