data set,model,covariates,b,beta,time,LLF,converged
DS1,DW,-,0.99418227,[],0.0040625,-35.37187468,TRUE
DS1,DW,E,0.995227942,[0.1552065],0.0265625,-33.19995194,TRUE
DS1,DW,F,0.997769455,[0.04496836],0.0209375,-29.4703137,TRUE
DS1,DW,C,0.995526365,[0.13681203],0.0184375,-33.04090113,TRUE
DS1,DW,EF,0.99777558,[0.05936205 0.04149497],0.0728125,-29.20342903,TRUE
DS1,DW,FC,0.997757055,[0.04093536 0.04754854],0.0740625,-29.27885983,TRUE
DS1,DW,EC,0.996350833,[0.14263609 0.12336662],0.051875,-31.41475287,TRUE
DS1,DW,EFC,0.997815971,[0.07130788 0.03619626 0.0584351 ],0.115,-28.91369384,TRUE
DS2,DW,-,0.989381182,[],0.003125,-37.29405579,TRUE
DS2,DW,E,0.990556622,[0.18466703],0.023125,-36.4317963,TRUE
DS2,DW,F,0.992309293,[0.04254664],0.0171875,-33.39672808,TRUE
DS2,DW,C,0.992182362,[0.22536356],0.015625,-34.6132848,TRUE
DS2,DW,EF,0.992886921,[-0.58420992  0.0963161 ],0.03375,-31.34126756,TRUE
DS2,DW,FC,0.999612236,[ 0.66766369 -7.28730283],0.0365625,-278.5067329,TRUE
DS2,DW,EC,0.992471357,[-0.40596819  0.46307447],0.041875,-33.63866854,TRUE
DS2,DW,EFC,0.994061885,[-0.84634733  0.08616175  0.3039583 ],0.09,-29.86953656,TRUE
DS1,GM,-,0.031290021,[],0.0021875,-41.4681826,TRUE
DS1,GM,E,0.059768101,[0.28368348],0.0271875,-36.1263529,TRUE
DS1,GM,F,0.014751145,[0.05895853],0.018125,-31.2134606,TRUE
DS1,GM,C,0.052238926,[0.2753168],0.0175,-35.54277231,TRUE
DS1,GM,EF,0.021396318,[0.1396797 0.0514606],0.056875,-30.02494829,TRUE
DS1,GM,FC,0.0222431,[0.05075008 0.08672168],0.043125,-30.89287538,TRUE
DS1,GM,EC,0.037806346,[0.28647548 0.24437055],0.051875,-30.07963349,TRUE
DS1,GM,EFC,-127.9304105,[-1.02242396  0.02245078 -0.57837761],0.3015625,nan,FALSE
DS2,GM,-,0.101937923,[],0.0021875,-29.37797106,TRUE
DS2,GM,E,0.093616829,[0.49856936],0.0159375,-24.93183588,TRUE
DS2,GM,F,0.072939248,[0.05893731],0.015625,-23.29089438,TRUE
DS2,GM,C,-1582.006007,[-2.69806435],0.0390625,nan,FALSE
DS2,GM,EF,0.074771882,[0.06552505 0.05366129],0.0334375,-23.26950772,TRUE
DS2,GM,FC,0.070326003,[0.04467209 0.12881489],0.03125,-23.01250872,TRUE
DS2,GM,EC,0.07942313,[0.19881497 0.24491958],0.033125,-24.09369398,TRUE
DS2,GM,EFC,0.069363787,[-0.03643947  0.04664847  0.13732605],0.0603125,-23.00672947,TRUE
DS1,NB,-,-0.022002743,[],0.0059375,-56.2056412,TRUE
DS1,NB,E,-0.000266669,[-0.01440582],0.0375,-53.61549284,TRUE
DS1,NB,F,-2.13E-05,[0.01253826],0.0234375,-50.63887161,TRUE
DS1,NB,C,-0.028557582,[-0.10680949],0.025,-53.93891253,TRUE
DS1,NB,EF,-0.000157349,[0.01236296 0.01825302],0.0690625,-49.78867304,TRUE
DS1,NB,FC,-0.036733059,[0.06102298 0.02071247],0.0578125,-31.8798637,TRUE
DS1,NB,EC,-0.042985047,[0.22400755 0.14683728],0.103125,-40.03156395,TRUE
DS1,NB,EFC,-0.010142105,[-0.08340765  0.07895525 -0.2014321 ],0.091875,-38.61847509,TRUE
DS2,NB,-,-0.029180092,[],0.004375,-55.42782653,TRUE
DS2,NB,E,-0.03719758,[-0.2952009],0.0190625,-52.89293869,TRUE
DS2,NB,F,-0.022873989,[0.03042033],0.0190625,-53.78435292,TRUE
DS2,NB,C,-0.029832623,[-0.01510954],0.0184375,-55.41529978,TRUE
DS2,NB,EF,-0.033104649,[-1.45732684  0.16092665],0.0446875,-36.49905124,TRUE
DS2,NB,FC,-0.029063654,[ 0.06663131 -0.31918757],0.034375,-51.16332895,TRUE
DS2,NB,EC,-0.032480714,[-1.2430311   0.69303517],0.039375,-46.31933802,TRUE
DS2,NB,EFC,-0.027540709,[-1.74531565  0.15142775  0.29728661],0.0578125,-34.97455191,TRUE
