data set,model,covariates,b (minimize),beta (minimize),b,beta,time,calculated LLF,correct LLF,correct - calc LLF,converged
DS1,DW,-,0.994194141,[],0.99418227,[],0.0128125,-35.37187468,-35.37187468,7.11E-14,TRUE
DS1,DW,E,0.994242676,[0.01062378],0.995227942,[0.15520649],0.0553125,-33.19995194,-33.19995194,1.42E-14,TRUE
DS1,DW,F,0.995102658,[0.0124986],0.997769455,[0.04496836],0.051875,-29.4703137,-29.4703137,1.39E-13,TRUE
DS1,DW,C,0.994291211,[0.01063916],0.995526369,[0.13681186],0.0503125,-33.04090113,-33.04090113,4.00E-11,TRUE
DS1,DW,EF,0.995266886,[0.00999698 0.01050686],0.997775579,[0.05936204 0.04149496],0.11625,-29.20342903,-29.20342903,1.88E-13,TRUE
DS1,DW,FC,0.9952797,[0.0104986  0.00999864],0.997756648,[0.04093025 0.04754807],0.1028125,-29.27885996,-29.27885983,1.22E-07,TRUE
DS1,DW,EC,0.994407689,[0.01094141 0.01197909],0.996350812,[0.14263564 0.12336702],0.115,-31.41475287,-31.41475287,9.34E-10,TRUE
DS1,DW,EFC,0.995326164,[0.01044499 0.01001238 0.01002016],0.997815936,[0.07130771 0.03619581 0.05843498],0.1890625,-28.91369385,-28.91369384,9.47E-10,TRUE
DS2,DW,-,0.989340625,[],0.989381182,[],0.009375,-37.29405579,-37.29405579,4.26E-14,TRUE
DS2,DW,E,0.989534766,[0.01083496],0.990556622,[0.18466704],0.0403125,-36.4317963,-36.4317963,-2.84E-14,TRUE
DS2,DW,F,0.990651074,[0.01166528],0.992309302,[0.04254676],0.041875,-33.39672808,-33.39672808,3.22E-11,TRUE
DS2,DW,C,0.989437695,[0.0111792],0.992182362,[0.22536355],0.0359375,-34.6132848,-34.6132848,4.26E-14,TRUE
DS2,DW,EF,0.990295389,[0.0096191  0.01121599],0.992886904,[-0.58421272  0.09631631],0.0715625,-31.34126756,-31.34126756,1.33E-10,TRUE
DS2,DW,FC,0.990339688,[0.01191377 0.00885177],0.992534103,[0.03702468 0.049997  ],0.0678125,-33.33843769,-33.33843769,1.43E-11,TRUE
DS2,DW,EC,0.989538104,[0.01004822 0.01050751],0.992471353,[-0.40596815  0.46307447],0.075625,-33.63866854,-33.63866854,3.97E-12,TRUE
DS2,DW,EFC,0.99019142,[0.00996386 0.01051249 0.01008097],0.994061854,[-0.84634511  0.08616165  0.30395784],0.111875,-29.86953656,-29.86953656,2.97E-10,TRUE
DS1,GM,-,0.0315,[],0.031290021,[],0.0071875,-41.4681826,-41.4681826,-4.26E-14,TRUE
DS1,GM,E,0.048261719,[0.05691016],0.059768101,[0.28368348],0.038125,-36.1263529,-36.1263529,5.68E-14,TRUE
