data set,model,covariates,b (minimize),beta (minimize),b,beta,time,calculated LLF,correct LLF,calc - correct LLF,converged
DS1,DW,-,0.994194141,[],0.99418227,[],0.015,-35.37187468,-35.37187468,7.11E-14,TRUE
DS1,DW,E,0.99567041,[0.12168896],0.995228242,[0.15520608],0.073125,-33.19995201,-33.19995194,7.64E-08,TRUE
DS1,DW,F,0.997734816,[0.04453926],0.997769429,[0.04496805],0.0709375,-29.4703137,-29.4703137,5.11E-10,TRUE
DS1,DW,C,0.994291211,[0.01095166],0.995526368,[0.13681189],0.071875,-33.04090113,-33.04090113,2.71E-11,TRUE
DS1,DW,EF,0.997282213,[-0.00320598  0.02853759],0.997775477,[0.05936231 0.04149369],0.1490625,-29.20342903,-29.20342903,7.75E-09,TRUE
DS1,DW,FC,0.997499156,[ 0.03084008 -0.01046816],0.997757171,[0.04093703 0.04754547],0.135625,-29.27885985,-29.27885983,1.13E-08,TRUE
DS1,DW,EC,0.99621928,[0.08953087 0.14576795],0.99635079,[0.14264047 0.12336498],0.1459375,-31.41475288,-31.41475287,7.75E-09,TRUE
DS1,DW,EFC,0.997253968,[-0.0463418   0.03894144  0.01551018],0.997816069,[0.07130557 0.03619786 0.05843214],0.2365625,-28.91369385,-28.91369384,1.06E-08,TRUE
DS2,DW,-,0.98938916,[],0.989381182,[],0.0109375,-37.29405579,-37.29405579,1.42E-14,TRUE
DS2,DW,E,0.989534766,[0.01145996],0.990556633,[0.18466584],0.053125,-36.4317963,-36.4317963,1.21E-10,TRUE
DS2,DW,F,0.99233901,[0.04261568],0.992309294,[0.04254664],0.0478125,-33.39672808,-33.39672808,1.63E-13,TRUE
DS2,DW,C,0.992160877,[0.22166638],0.992182364,[0.22536324],0.0478125,-34.6132848,-34.6132848,1.60E-11,TRUE
DS2,DW,EF,0.992375754,[-0.00955402  0.04448179],0.992886915,[-0.58420818  0.09631597],0.105625,-31.34126756,-31.34126756,1.98E-11,TRUE
DS2,DW,FC,0.992166143,[ 0.04385645 -0.01809074],0.992533964,[0.03702511 0.04999467],0.095,-33.3384377,-33.33843769,6.41E-09,TRUE
DS2,DW,EC,0.989538104,[0.01004822 0.01050751],0.992471353,[-0.40596815  0.46307447],0.064375,-33.63866854,-33.63866854,3.97E-12,TRUE
DS2,DW,EFC,0.992605353,[-0.04305691  0.04458653  0.04690619],0.99406189,[-0.84634265  0.08616145  0.30395828],0.1596875,-29.86953656,-29.86953656,1.79E-10,TRUE
DS1,GM,-,0.0313125,[],0.031290021,[],0.008125,-41.4681826,-41.4681826,1.42E-14,TRUE
DS1,GM,E,0.059680034,[0.28317475],0.059768101,[0.28368348],0.0528125,-36.1263529,-36.1263529,0,TRUE
DS1,GM,F,0.014724735,[0.05893061],0.014751145,[0.05895853],0.041875,-31.2134606,-31.2134606,2.84E-14,TRUE
DS1,GM,C,0.052256056,[0.27523513],0.052238926,[0.2753168],0.0509375,-35.54277231,-35.54277231,1.56E-13,TRUE
DS1,GM,EF,0.021551366,[0.1468791  0.05180791],0.021396318,[0.13967969 0.0514606 ],0.1084375,-30.02494829,-30.02494829,-1.78E-14,TRUE
DS1,GM,FC,0.024118309,[0.04873451 0.07634166],0.022243101,[0.05075008 0.08672169],0.113125,-30.89287538,-30.89287538,4.97E-14,TRUE
DS1,GM,EC,0.043701907,[0.34463595 0.15427375],0.037806346,[0.28647548 0.24437054],0.110625,-30.07963349,-30.07963349,7.82E-14,TRUE
