data set,model,covariates,,,b,beta,time,LLF,converged
DS1,DW,-,0.994194141,[],0.99418227,[],0.016875,-35.37187468,TRUE
DS1,DW,E,0.99567041,[0.12168896],0.995227942,[0.1552065],0.0953125,-33.19995194,TRUE
DS1,DW,F,0.997734816,[0.04453926],0.997769455,[0.04496836],0.0709375,-29.4703137,TRUE
DS1,DW,C,0.994291211,[0.01095166],0.995526365,[0.13681203],0.0821875,-33.04090113,TRUE
DS1,DW,EF,0.997282213,[-0.00320598  0.02853759],0.99777558,[0.05936205 0.04149497],0.195,-29.20342903,TRUE
DS1,DW,FC,0.997499156,[ 0.03084008 -0.01046816],0.997757055,[0.04093536 0.04754854],0.140625,-29.27885983,TRUE
DS1,DW,EC,0.99621928,[0.08953087 0.14576795],0.996350834,[0.14263607 0.12336666],0.1653125,-31.41475287,TRUE
DS1,DW,EFC,0.997253968,[-0.0463418   0.03894144  0.01551018],0.997815971,[0.07130788 0.03619626 0.0584351 ],0.2303125,-28.91369384,TRUE
DS2,DW,-,0.98938916,[],0.989381182,[],0.0109375,-37.29405579,TRUE
DS2,DW,E,0.989534766,[0.01145996],0.990556622,[0.18466703],0.0590625,-36.4317963,TRUE
DS2,DW,F,0.99233901,[0.04261568],0.992309293,[0.04254664],0.0553125,-33.39672808,TRUE
DS2,DW,C,0.992160877,[0.22166638],0.992182362,[0.22536356],0.0571875,-34.6132848,TRUE
DS2,DW,EF,0.992375754,[-0.00955402  0.04448179],0.992886921,[-0.58420992  0.0963161 ],0.1021875,-31.34126756,TRUE
DS2,DW,FC,0.992166143,[ 0.04385645 -0.01809074],0.9925341,[0.03702465 0.04999671],0.1003125,-33.33843769,TRUE
DS2,DW,EC,0.989538104,[0.01004822 0.01050751],0.992471357,[-0.40596819  0.46307447],0.071875,-33.63866854,TRUE
DS2,DW,EFC,0.992605353,[-0.04305691  0.04458653  0.04690619],0.994061885,[-0.84634733  0.08616175  0.3039583 ],0.1734375,-29.86953656,TRUE
DS1,GM,-,0.0313125,[],0.031290021,[],0.008125,-41.4681826,TRUE
DS1,GM,E,0.059680034,[0.28317475],0.059768101,[0.28368348],0.050625,-36.1263529,TRUE
DS1,GM,F,0.014724735,[0.05893061],0.014751145,[0.05895853],0.0415625,-31.2134606,TRUE
DS1,GM,C,0.052256056,[0.27523513],0.052238926,[0.2753168],0.0509375,-35.54277231,TRUE
DS1,GM,EF,0.021551366,[0.1468791  0.05180791],0.021396318,[0.1396797 0.0514606],0.12,-30.02494829,TRUE
DS1,GM,FC,0.024118309,[0.04873451 0.07634166],0.0222431,[0.05075008 0.08672168],0.1059375,-30.89287538,TRUE
DS1,GM,EC,0.043701907,[0.34463595 0.15427375],0.037806346,[0.28647548 0.24437055],0.12125,-30.07963349,TRUE
DS1,GM,EFC,0.02858871,[0.25478434 0.03074619 0.1344247 ],0.026191997,[0.21774224 0.03132722 0.17702043],0.1921875,-28.40418701,TRUE
DS2,GM,-,0.1019375,[],0.101937923,[],0.0084375,-29.37797106,TRUE
DS2,GM,E,0.093748004,[0.49935857],0.093616829,[0.49856936],0.0403125,-24.93183588,TRUE
