intials,b,betas,time,LLF,converged
[0.01728044 0.03814675],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.00993185 0.00638303],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.06698486 0.014977  ],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.04592426 0.07766159],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.01844703 0.03719953],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.03437411 0.01770827],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.01771828 0.01413716],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.06054695 0.07872612],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.07358607 0.04075308],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.03143309 0.05460239],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.00826423 0.01874772],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.06907565 0.03157367],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.05244466 0.09483553],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.04663326 0.0495209 ],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.0562801  0.01084912],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.09875198 0.09494806],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.05008804 0.06493305],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.09910704 0.03089337],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.0622486  0.06471824],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.0924629  0.07272175],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.0814113  0.04730625],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.07559409 0.07269707],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.05453936 0.00278386],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.09341386 0.02693177],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.08645248 0.05202846],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.07755975 0.0873825 ],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.0384051  0.08328995],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.06685538 0.09784677],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.00628282 0.02901164],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.04621641 0.06838808],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.0274255  0.06936729],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.08221352 0.07940615],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.03627771 0.02821011],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.04981414 0.04806162],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.04906456 0.02014925],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.03665287 0.0305727 ],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.05913765 0.07579033],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.00295828 0.05091545],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.09098671 0.04064961],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.02129949 0.00710762],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.09343787 0.09699597],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.07967416 0.00093819],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.020354   0.08554225],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.0495353  0.08414556],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.00805322 0.02562198],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.02340443 0.02188974],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.04978942 0.05091177],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.08030112 0.09344105],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.03579601 0.02466487],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.04669758 0.05674565],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.07601451 0.0307354 ],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.08309603 0.03389204],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.02520722 0.07344691],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.0377019  0.03278358],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.05440131 0.09081921],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
[0.01674664 0.08964663],0.059768101,[0.28368348],0.015625,-36.1263529,TRUE
[0.05962878 0.02955733],0.059768101,[0.28368348],0.03125,-36.1263529,TRUE
