intials,b,betas,time,LLF,converged
[0.08756639 0.09316582 0.01697465],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.03761872 0.03940027 0.05772039],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0348585  0.02028554 0.08297683],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.09131187 0.0044663  0.07069858],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.04390101 0.01444795 0.02911545],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.04431091 0.08823417 0.02841841],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01243993 0.06447319 0.08426238],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0835757  0.0698568  0.02780017],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09168982 0.09765369 0.01798981],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.04424653 0.07316497 0.0973952 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09688796 0.0584487  0.08683462],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0632226  0.07143559 0.05784512],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.07822057 0.09783008 0.07253116],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.03622642 0.04176568 0.0404242 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0085487 0.0462771 0.0799738],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01750899 0.02473449 0.06165989],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.00690535 0.06928778 0.05258315],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.02769608 0.0583488  0.03928701],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09608369 0.08539337 0.01926102],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01926755 0.07382677 0.06539239],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.08074583 0.07931074 0.06511727],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.05382189 0.03408113 0.09773764],0.053821895,[0.03408113 0.09773764],0.046875,-34.05688529,FALSE
[0.03968657 0.08328783 0.01758765],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.02881917 0.05437877 0.01317789],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01788936 0.0269084  0.01357946],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01124605 0.09752744 0.03454304],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.07460249 0.09429287 0.01427553],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04480112 0.00239722 0.06169831],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.02902641 0.06935062 0.00208286],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.03879002 0.0077034  0.05027595],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09623308 0.07248895 0.04549663],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.06032187 0.07190077 0.02511012],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.02379988 0.03444742 0.04811783],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.09775218 0.00923398 0.0084179 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09986727 0.01334948 0.04178764],0.09986727,[0.01334948 0.04178764],0.03125,-41.54015406,FALSE
[0.05740121 0.05427282 0.01185099],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.02953853 0.07408887 0.0410448 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0404172  0.00536153 0.05283377],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.054175   0.0022834  0.02611306],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.06855813 0.08487752 0.05505196],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01538126 0.05413814 0.05681683],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.00863787 0.08520328 0.09558963],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.05715381 0.08871294 0.06170642],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.00316717 0.0377918  0.03764213],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.07092609 0.02702395 0.04089514],0.070926089,[0.02702395 0.04089514],0.046875,-36.94942869,FALSE
[0.01551066 0.08652331 0.08168576],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.03749872 0.08992136 0.06139274],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.08161426 0.02916797 0.08338588],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0163489  0.00439884 0.03587634],-911.0528232,[-0.0485982  -0.74349215],0.140625,nan,FALSE
[0.09328197 0.0820124  0.0388728 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.07347193 0.03364085 0.01046011],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.09327701 0.09373314 0.04292419],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01996179 0.03514284 0.04221823],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.04286714 0.03304044 0.02608759],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.07951445 0.00974976 0.08352049],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.05021061 0.08285866 0.01811751],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01868353 0.01899894 0.08160604],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09846345 0.00643299 0.04234088],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0736075  0.07192297 0.05829281],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.00551464 0.00858639 0.04920373],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.03579481 0.04362465 0.00316704],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04874468 0.09322346 0.0803678 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0008891  0.0985115  0.01470754],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0760504  0.04418404 0.08454418],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.08070117 0.00293268 0.04349175],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01969269 0.03230584 0.00505548],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09176731 0.04327988 0.0179386 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.06277854 0.03815916 0.06984239],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.07397046 0.0902008  0.08349866],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09859327 0.05148896 0.07424485],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.00994308 0.05099776 0.01538497],0.009943079,[0.05099776 0.01538497],0.046875,-31.67389327,FALSE
[0.04387989 0.05169657 0.06051132],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.05134688 0.09474698 0.02757892],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.0269018  0.05031646 0.06867976],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09709461 0.08950723 0.04143352],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0642713  0.00739033 0.01859359],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.09076463 0.01079202 0.05157625],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.02259335 0.00572699 0.0243832 ],0.02259335,[0.00572699 0.0243832 ],0.046875,-38.90666427,FALSE
[0.05139683 0.09555664 0.04507818],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.04615284 0.05976562 0.03275015],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04619628 0.03762674 0.0626361 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.05674316 0.0828945  0.09592798],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.07979593 0.06047443 0.0288629 ],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01188713 0.08144638 0.0690615 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04023821 0.07452811 0.03626392],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.03702907 0.0007653  0.08226511],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.0056343  0.08824641 0.08334469],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.09188744 0.01019702 0.03529929],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04648236 0.04802478 0.03138555],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.06769882 0.07608096 0.06315367],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.01672676 0.03301533 0.04673064],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.02110776 0.07263703 0.0576104 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.03430928 0.02538104 0.09884135],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.05138803 0.06801786 0.09713163],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01897565 0.03911646 0.05697353],0.018975648,[0.03911646 0.05697353],0.03125,-31.81592618,FALSE
[0.03035756 0.03891005 0.02810213],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.06511048 0.03393459 0.08836354],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
[0.01786529 0.05785159 0.0552239 ],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.03981103 0.04012939 0.09516553],0.0222431,[0.05075008 0.08672168],0.03125,-30.89287538,TRUE
[0.04662084 0.07270913 0.07183468],0.0222431,[0.05075008 0.08672168],0.046875,-30.89287538,TRUE
,,,0.0396875,,93
