intials,b,betas,time,LLF,converged
[0.0582627  0.06733305],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01862704 0.0959366 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05232138 0.04707005],0.014751145,[0.05895853],0,-31.2134606,TRUE
[0.09838532 0.08800222],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00096129 0.08080384],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0048739  0.02544383],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02409536 0.05384704],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09912189 0.04795664],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01999836 0.08464632],0.014751145,[0.05895853],0.03125,-31.2134606,TRUE
[0.08348723 0.05936854],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00116039 0.01635333],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07529398 0.04586872],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05288146 0.03301899],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05933052 0.02220804],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07560543 0.01380175],0.014751145,[0.05895853],0,-31.2134606,TRUE
[0.0363291  0.04343779],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07938984 0.07478446],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00586583 0.06024887],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02929553 0.07783633],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07932651 0.01378429],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07972721 0.01463909],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08874584 0.04889465],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0457116  0.05443549],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03864318 0.05712   ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08043703 0.07464683],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06406512 0.09503709],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03729591 0.05845107],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09093105 0.08248489],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07366601 0.09557248],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06871354 0.02096426],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00900236 0.09867549],0.009002355,[0.09867549],0.015625,-35.28820588,FALSE
[0.02139548 0.08490956],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07725142 0.07776935],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06657389 0.03180857],0.066573893,[0.03180857],0.015625,-37.21012514,FALSE
[0.0286387  0.02304423],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01881903 0.01982813],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05047635 0.07333408],0.014751145,[0.05895853],0,-31.2134606,TRUE
[0.00081808 0.08040924],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.007253   0.03825425],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.04486642 0.01448822],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05959293 0.0710904 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01508452 0.0708446 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.04565447 0.02598293],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.04120392 0.00417072],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07028849 0.0818378 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03870307 0.08109706],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07281112 0.05768708],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.04992442 0.02309842],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01237438 0.04900985],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0835844  0.04525069],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09505067 0.03095728],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0032556  0.05198081],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01441462 0.06266681],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08957132 0.0128298 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05888451 0.06309362],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03989762 0.01881643],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01097329 0.09070678],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08665675 0.0880009 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0401349  0.00695076],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06051946 0.08505435],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07647243 0.05076436],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08854952 0.00769244],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07485216 0.02942464],0.07485216,[0.02942464],0.015625,-38.61765579,FALSE
[0.08351135 0.05307155],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03008623 0.07963725],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00785106 0.01827588],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07251503 0.03845904],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01561166 0.06364697],0.014751145,[0.05895853],0,-31.2134606,TRUE
[0.06118079 0.06548476],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00453192 0.09564913],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00835409 0.03824199],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[8.74241283e-05 9.61367300e-02],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05690235 0.01962731],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0792244  0.00862097],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06827768 0.02910118],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0375512  0.05038526],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01528002 0.07233668],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09486981 0.02948111],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02032877 0.04919587],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02960612 0.08198441],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02393682 0.07462429],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05137189 0.04742789],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.05313751 0.01664751],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.01045022 0.02863335],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0083074  0.00699632],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09191268 0.07373991],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02385298 0.0797793 ],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02290784 0.00340232],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.07915784 0.04926873],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.08421132 0.03856568],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03787172 0.07764113],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09830564 0.01163757],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02467564 0.08823856],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.06853262 0.08067242],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.09167681 0.03359162],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.04028869 0.09134101],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.03160545 0.00087595],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.02012428 0.04263087],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.0508922  0.09314588],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
[0.00871057 0.02741512],0.014751145,[0.05895853],0.015625,-31.2134606,TRUE
,,,0.01515625,,97
