intials,b,betas,time,LLF,converged
[0.08175208],0.101937923,[],0,-29.37797106,TRUE
[0.05175842],0.101937923,[],0,-29.37797106,TRUE
[0.08916277],0.101937923,[],0.015625,-29.37797106,TRUE
[0.02775129],0.101937923,[],0,-29.37797106,TRUE
[0.0957708],0.101937923,[],0,-29.37797106,TRUE
[0.0963214],0.101937923,[],0,-29.37797106,TRUE
[0.06379296],0.101937923,[],0,-29.37797106,TRUE
[0.01674569],0.101937923,[],0,-29.37797106,TRUE
[0.09015916],0.101937923,[],0,-29.37797106,TRUE
[0.08571105],0.101937923,[],0.015625,-29.37797106,TRUE
[0.06181279],0.101937923,[],0,-29.37797106,TRUE
[0.07156603],0.101937923,[],0,-29.37797106,TRUE
[0.07873798],0.101937923,[],0,-29.37797106,TRUE
[0.03078682],0.101937923,[],0,-29.37797106,TRUE
[0.03338178],0.101937923,[],0,-29.37797106,TRUE
[0.02119953],0.101937923,[],0.015625,-29.37797106,TRUE
[0.05667803],0.101937923,[],0,-29.37797106,TRUE
[0.08228064],0.101937923,[],0,-29.37797106,TRUE
[0.00469897],0.101937923,[],0,-29.37797106,TRUE
[0.04186536],0.101937923,[],0,-29.37797106,TRUE
[0.07985398],0.101937923,[],0,-29.37797106,TRUE
[0.04949979],0.101937923,[],0,-29.37797106,TRUE
[0.08879265],0.101937923,[],0,-29.37797106,TRUE
[0.00513401],0.101937923,[],0,-29.37797106,TRUE
[0.07062759],0.101937923,[],0,-29.37797106,TRUE
[0.03137511],0.101937923,[],0,-29.37797106,TRUE
[0.06261194],0.101937923,[],0,-29.37797106,TRUE
[0.05284772],0.101937923,[],0,-29.37797106,TRUE
[0.02953952],0.101937923,[],0.015625,-29.37797106,TRUE
[0.09182662],0.101937923,[],0,-29.37797106,TRUE
[0.07261571],0.101937923,[],0,-29.37797106,TRUE
[0.06416383],0.101937923,[],0,-29.37797106,TRUE
[0.04674157],0.101937923,[],0,-29.37797106,TRUE
[0.07287299],0.101937923,[],0,-29.37797106,TRUE
[0.05040409],0.101937923,[],0.015625,-29.37797106,TRUE
[0.08224834],0.101937923,[],0,-29.37797106,TRUE
[0.06646733],0.101937923,[],0,-29.37797106,TRUE
[0.03735085],0.101937923,[],0,-29.37797106,TRUE
[0.07303615],0.101937923,[],0,-29.37797106,TRUE
[0.00934086],0.101937923,[],0,-29.37797106,TRUE
[0.01674359],0.101937923,[],0,-29.37797106,TRUE
[0.09893898],0.101937923,[],0.015625,-29.37797106,TRUE
[0.08360265],0.101937923,[],0,-29.37797106,TRUE
[0.09747503],0.101937923,[],0,-29.37797106,TRUE
[0.03071262],0.101937923,[],0,-29.37797106,TRUE
[0.00256699],0.101937923,[],0,-29.37797106,TRUE
[0.03296988],0.101937923,[],0,-29.37797106,TRUE
[0.07124413],0.101937923,[],0,-29.37797106,TRUE
[0.09925029],0.101937923,[],0,-29.37797106,TRUE
[0.0760518],0.101937923,[],0,-29.37797106,TRUE
[0.03081351],0.101937923,[],0,-29.37797106,TRUE
[0.01579807],0.101937923,[],0,-29.37797106,TRUE
[0.05442038],0.101937923,[],0,-29.37797106,TRUE
[0.08898677],0.101937923,[],0,-29.37797106,TRUE
[0.04142071],0.101937923,[],0,-29.37797106,TRUE
[0.08127827],0.101937923,[],0,-29.37797106,TRUE
[0.05153866],0.101937923,[],0,-29.37797106,TRUE
[0.07275055],0.101937923,[],0,-29.37797106,TRUE
[0.05614396],0.101937923,[],0,-29.37797106,TRUE
[0.06076998],0.101937923,[],0,-29.37797106,TRUE
[0.04968596],0.101937923,[],0,-29.37797106,TRUE
[0.0875729],0.101937923,[],0,-29.37797106,TRUE
[0.05865306],0.101937923,[],0.015625,-29.37797106,TRUE
[0.04341173],0.101937923,[],0,-29.37797106,TRUE
[0.02357301],0.101937923,[],0,-29.37797106,TRUE
[0.08402068],0.101937923,[],0,-29.37797106,TRUE
[0.01137184],0.101937923,[],0,-29.37797106,TRUE
[0.08479248],0.101937923,[],0.015625,-29.37797106,TRUE
[0.05114062],0.101937923,[],0,-29.37797106,TRUE
[0.06170085],0.101937923,[],0,-29.37797106,TRUE
[0.03399533],0.101937923,[],0,-29.37797106,TRUE
[0.08184328],0.101937923,[],0,-29.37797106,TRUE
[0.09806114],0.101937923,[],0.015625,-29.37797106,TRUE
[0.01084507],0.101937923,[],0,-29.37797106,TRUE
[0.01477153],0.101937923,[],0,-29.37797106,TRUE
[0.04698639],0.101937923,[],0,-29.37797106,TRUE
[0.06265902],0.101937923,[],0,-29.37797106,TRUE
[0.01542047],0.101937923,[],0,-29.37797106,TRUE
[0.04901332],0.101937923,[],0,-29.37797106,TRUE
[0.07606919],0.101937923,[],0,-29.37797106,TRUE
[0.07659249],0.101937923,[],0,-29.37797106,TRUE
[0.08789149],0.101937923,[],0,-29.37797106,TRUE
[0.05841914],0.101937923,[],0,-29.37797106,TRUE
[0.0751651],0.101937923,[],0,-29.37797106,TRUE
[0.03284365],0.101937923,[],0,-29.37797106,TRUE
[0.04196395],0.101937923,[],0.015625,-29.37797106,TRUE
[0.04437101],0.101937923,[],0,-29.37797106,TRUE
[0.08359386],0.101937923,[],0,-29.37797106,TRUE
[0.05047117],0.101937923,[],0,-29.37797106,TRUE
[0.07087655],0.101937923,[],0,-29.37797106,TRUE
[0.05287821],0.101937923,[],0,-29.37797106,TRUE
[0.04493832],0.101937923,[],0,-29.37797106,TRUE
[0.05644104],0.101937923,[],0,-29.37797106,TRUE
[0.09168112],0.101937923,[],0,-29.37797106,TRUE
[0.01559545],0.101937923,[],0,-29.37797106,TRUE
[0.04948675],0.101937923,[],0,-29.37797106,TRUE
[0.07131248],0.101937923,[],0,-29.37797106,TRUE
[0.0378455],0.101937923,[],0,-29.37797106,TRUE
[0.06605122],0.101937923,[],0.015625,-29.37797106,TRUE
[0.03054311],0.101937923,[],0,-29.37797106,TRUE
,,,0.00171875,,100
