intials,b,betas,time,LLF,converged
[0.05005402 0.0030948 ],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.07017173 0.08090952],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.03839311 0.08684129],0.038393106,[0.08684129],0.015625,-29.09291855,FALSE
[0.09395784 0.02933704],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.04908883 0.09535047],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.08502583 0.08546065],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.02697531 0.06835113],0.026975313,[0.06835113],0.015625,-30.07005326,FALSE
[0.06186814 0.04635126],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.06437967 0.08296492],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.09405704 0.05040673],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.03306637 0.04825681],0.03306637,[0.04825681],0.015625,-30.02974921,FALSE
[0.03727484 0.02255953],0.037274843,[0.02255953],0.015625,-30.2987223,FALSE
[0.05262178 0.09242251],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.0717305 0.0064665],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.026556  0.0967018],0.026556004,[0.0967018],0.015625,-29.72471535,FALSE
[0.04541183 0.03552759],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.00982436 0.04742032],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.01095772 0.05452038],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.02621164 0.00523079],0.026211639,[0.00523079],0,-31.17149266,FALSE
[0.03609391 0.06589611],0.03609391,[0.06589611],0.015625,-29.56341412,FALSE
[0.07398999 0.00079986],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.02830155 0.06433835],0.028301555,[0.06433835],0,-30.04575483,FALSE
[0.02821239 0.09618084],-1.68317674,[-5.93134609],0.015625,nan,FALSE
[0.06469435 0.06753067],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.00219435 0.0232504 ],-3070.405452,[-2.81863642],0.046875,nan,FALSE
[0.09626627 0.00118143],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.0541982  0.00206583],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.07174335 0.05330649],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.044572   0.07264827],0.044572004,[0.07264827],0.015625,-28.99793142,FALSE
[0.02292053 0.00551231],0.022920533,[0.00551231],0,-31.33401545,FALSE
[0.09755934 0.03431675],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.07998823 0.01137676],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.06470855 0.00077371],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.07715445 0.01194963],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.07230164 0.07547164],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.00226824 0.03173611],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.03645813 0.038722  ],0.036458129,[0.038722],0.015625,-30.02497824,FALSE
[0.03032311 0.07842838],0.030323114,[0.07842838],0,-29.71200529,FALSE
[0.03908591 0.06077241],0.039085908,[0.06077241],0,-29.48997325,FALSE
[0.06615495 0.01065154],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.05688972 0.00053042],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.00523483 0.03505179],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.086735   0.09923453],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.05783664 0.05387094],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.06361578 0.05546501],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.09572293 0.07755115],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.06725835 0.07812714],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.00984726 0.04013869],-2228.623893,[-2.76141149],0.046875,nan,FALSE
[0.06287037 0.08234375],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.06712613 0.09675834],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.04647935 0.0025169 ],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.03566791 0.0144167 ],0.035667912,[0.0144167],0,-30.5368328,FALSE
[0.03262113 0.04010577],0.032621127,[0.04010577],0.015625,-30.19679295,FALSE
[0.06211216 0.05370864],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.05544883 0.04975523],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.02957739 0.06048788],0.029577386,[0.06048788],0,-30.02720355,FALSE
[0.01495443 0.05991185],-2156.273772,[-2.75540997],0.046875,nan,FALSE
[0.05392287 0.07159617],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.08610439 0.04248757],0.077121316,[0.35000826],0,-24.32516162,TRUE
[0.08385992 0.06317267],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.01570842 0.03615499],0.015708418,[0.03615499],0.015625,-31.2487737,FALSE
[0.03599231 0.09799881],0.035992314,[0.09799881],0,-29.07059155,FALSE
[0.08060382 0.08862368],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.0702144 0.0276345],0.077121316,[0.35000826],0.015625,-24.32516162,TRUE
[0.03127067 0.04275907],0.031270668,[0.04275907],0.015625,-30.22262724,FALSE
