intials,b,betas,time,LLF,converged
[0.04331487 0.07476772 0.05196847],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.06436043 0.09099012 0.07020131],0.064360426,[0.09099012 0.07020131],0.015625,-27.40353406,FALSE
[0.01878494 0.01647335 0.00348197],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.0822721  0.00133475 0.06910794],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.08292962 0.00260928 0.07911493],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.06480904 0.07526754 0.02343853],0.064809044,[0.07526754 0.02343853],0.03125,-28.4563497,FALSE
[0.06678684 0.07581411 0.04683028],0.066786842,[0.07581411 0.04683028],0.015625,-27.88638286,FALSE
[0.05986621 0.06515181 0.08637418],0.059866208,[0.06515181 0.08637418],0.015625,-27.5230544,FALSE
[0.09584181 0.0974619  0.05179018],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.09740945 0.08956266 0.01952566],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.06611894 0.07163808 0.03739696],0.066118938,[0.07163808 0.03739696],0.03125,-28.14604532,FALSE
[0.01901579 0.08777133 0.04239864],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.0268484  0.04459924 0.09846139],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.07389885 0.00258251 0.03498215],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05201726 0.09201631 0.02143677],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.02581769 0.02406111 0.09789853],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.0366909  0.07998149 0.07699219],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.02804164 0.01357568 0.04329856],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.00929792 0.04287883 0.00624103],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.09654282 0.07354053 0.00516981],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.0402082  0.02899332 0.00343154],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08970224 0.06884502 0.0648686 ],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.06404215 0.0473701  0.02992429],0.064042146,[0.0473701  0.02992429],0.03125,-28.61978197,FALSE
[0.09091179 0.05271843 0.04805228],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.05228904 0.07220578 0.0738471 ],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08877639 0.04409737 0.0377161 ],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.04403481 0.00565765 0.05010739],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.02562692 0.01181491 0.03105275],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08824729 0.0853596  0.03560926],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05493189 0.07857405 0.05614164],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05913794 0.03799604 0.05622958],0.05913794,[0.03799604 0.05622958],0.015625,-28.34408784,FALSE
[0.08405278 0.00315342 0.07063661],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.03037497 0.07168848 0.04215041],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.07370719 0.03257463 0.05376864],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08850031 0.0746709  0.06345399],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.04056324 0.00273707 0.07843627],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.06131377 0.02095931 0.09856892],0.06131377,[0.02095931 0.09856892],0.015625,-27.58754586,FALSE
[0.09278985 0.02527903 0.05716779],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.03220273 0.08296459 0.03021633],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.03738138 0.04799374 0.0245215 ],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.0572016  0.01307801 0.05124618],0.057201599,[0.01307801 0.05124618],0.03125,-28.75109008,FALSE
[0.05308122 0.0249191  0.05530767],0.053081216,[0.0249191  0.05530767],0.015625,-28.73308311,FALSE
[0.05945127 0.09973853 0.09285386],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.0295609  0.08252551 0.0567412 ],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.09370775 0.09111436 0.05570787],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.06541589 0.01401789 0.04283412],0.065415891,[0.01401789 0.04283412],0.03125,-28.64161103,FALSE
[0.04667706 0.08996218 0.09645433],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.00069346 0.01658234 0.01849272],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.07361074 0.05419686 0.01035641],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.07023484 0.08227637 0.02085541],0.070234843,[0.08227637 0.02085541],0.03125,-28.25015779,FALSE
[0.06515546 0.02373222 0.08514139],0.065155457,[0.02373222 0.08514139],0.03125,-27.66716307,FALSE
[0.00213268 0.06768288 0.09433681],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.00911678 0.09279212 0.02315669],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.03642069 0.0860288  0.03093421],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08026949 0.00600571 0.08710781],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.02240478 0.06659904 0.02518613],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05682257 0.01842105 0.04985595],0.056822567,[0.01842105 0.04985595],0.03125,-28.74440795,FALSE
[0.03177667 0.07272772 0.06992174],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05514549 0.08681528 0.05635944],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
[0.08632631 0.07271816 0.02340901],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.05794016 0.01125342 0.09197582],0.05794016,[0.01125342 0.09197582],0.03125,-27.9341514,FALSE
[0.00598106 0.02619349 0.01254387],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.08715057 0.01228305 0.00588619],0.07942313,[0.19881497 0.24491958],0.03125,-24.09369398,TRUE
[0.01631084 0.08378794 0.06462535],0.07942313,[0.19881497 0.24491958],0.015625,-24.09369398,TRUE
