intials,b,betas,time,LLF,converged
[0.08952619 0.06459727 0.04845469 0.04487529],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.08904418 0.00245435 0.06128484 0.01261352],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06460539 0.00927463 0.01476448 0.00978354],0.064605389,[0.00927463 0.01476448 0.00978354],0.046875,-26.99937428,FALSE
[0.0336254  0.02949314 0.04411108 0.0128676 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.0852758  0.08947269 0.01295256 0.0406214 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01081474 0.02564669 0.03254039 0.06430808],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06918301 0.09239473 0.00498428 0.04678665],0.069363787,[-0.03643947  0.04664847  0.13732605],0.0625,-23.00672947,TRUE
[0.06133507 0.0018957  0.05183821 0.02083475],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.08052779 0.09593851 0.03263511 0.00379528],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.04496167 0.06228848 0.01375105 0.02800347],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06811094 0.09707596 0.02650685 0.09399464],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.03376553 0.07077432 0.01706857 0.03820333],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.0836691  0.00989399 0.00763092 0.06342675],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07955569 0.04683036 0.06452467 0.04909388],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01045036 0.01267705 0.01420916 0.02117341],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.03278591 0.04384762 0.08718287 0.02961178],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.08367767 0.05944741 0.05623796 0.0560012 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.05748279 0.07669353 0.09019567 0.0923127 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01806696 0.03419019 0.01165126 0.08464179],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.00159502 0.09597964 0.05126759 0.05250395],0.069363787,[-0.03643947  0.04664847  0.13732605],0.0625,-23.00672947,TRUE
[0.0657468  0.03170329 0.07018867 0.02201492],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.01659166 0.00766539 0.04145505 0.04753236],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.07854355 0.04309566 0.01751093 0.08299686],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06269158 0.04222699 0.08114542 0.06437544],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.03219626 0.06917291 0.01216765 0.01658928],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.06850497 0.04291082 0.04410254 0.00646323],0.069363787,[-0.03643947  0.04664847  0.13732605],0.03125,-23.00672947,TRUE
[0.07784886 0.09006764 0.0618164  0.07474254],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.09389632 0.09097504 0.09486713 0.01438141],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.02217274 0.08667435 0.07961914 0.02313555],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.0254294  0.02842787 0.03628777 0.02114311],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
[0.02701324 0.01054815 0.01921721 0.0179692 ],0.069363787,[-0.03643947  0.04664847  0.13732605],0.046875,-23.00672947,TRUE
