b,betas,time,LLF,converged
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.0625,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.0625,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.0625,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.0625,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.0625,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
0.995014799,[0.10267568 0.09215527],0.046875,-32.30732812,FALSE
