b,betas,time,LLF,converged
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.03125,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
0.994,[0.01],0.015625,-40.28841305,FALSE
,,0.0165625,,0
