b,betas,time,LLF,converged
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.015625,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
0.994,[0.01 0.01],0.03125,-38.180165,FALSE
