data set,model,covariates,b,betas,time,actual LLF,calculated LLF,LLF difference,converged
DS1,DW,-,0.9941822704481335,[],0.0,-35.3719,-35.371874676981975,-2.5323018022049837e-05,YES
DS1,DW,E,0.995227941803844,[0.1552065],0.03125,-33.2,-33.19995193813574,-4.806186426264958e-05,YES
DS1,DW,F,0.9977694552680336,[0.04496836],0.015625,-29.4703,-29.47031369828818,1.3698288178431994e-05,YES
DS1,DW,C,0.9955263652612173,[0.13681203],0.015625,-33.0409,-33.04090113120549,1.131205486615272e-06,YES
DS1,DW,EF,0.997775579521708,[0.05936205 0.04149497],0.046875,-29.2034,-29.203429026484002,2.9026484003935593e-05,YES
DS1,DW,FC,0.9977570552331992,[0.04093536 0.04754854],0.046875,-29.2789,-29.278859834744765,-4.0165255235535824e-05,YES
DS1,DW,EC,0.9963508330516249,[0.14263609 0.12336662],0.046875,-31.4148,-31.414752868497004,-4.7131502995512164e-05,YES
DS1,DW,EFC,0.997815971365426,[0.07130788 0.03619626 0.0584351 ],0.078125,-28.9137,-28.913693844135935,-6.155864063828176e-06,YES
DS2,DW,-,0.9893811824673826,[],0.0,-37.2941,-37.29405578935032,-4.4210649683407155e-05,YES
DS2,DW,E,0.9905566217356602,[0.18466703],0.015625,-36.4318,-36.43179630157487,-3.6984251323701756e-06,YES
DS2,DW,F,0.9923092934540403,[0.04254664],0.015625,-33.3967,-33.3967280796324,2.8079632400590526e-05,YES
DS2,DW,C,0.9921823620503002,[0.22536356],0.015625,-34.6133,-34.6132847960962,-1.5203903799942964e-05,YES
DS2,DW,EF,0.9928869207627633,[-0.58420992  0.0963161 ],0.03125,-31.3413,-31.341267562088426,-3.243791157458986e-05,YES
DS2,DW,FC,0.9925340997127571,[0.03702465 0.04999671],0.03125,-33.3384,-33.338437691421,3.7691420999408365e-05,YES
DS2,DW,EC,0.9924713567834235,[-0.40596819  0.46307447],0.046875,-33.6387,-33.63866853932421,-3.146067579251621e-05,YES
DS2,DW,EFC,0.9940618847046605,[-0.84634733  0.08616175  0.3039583 ],0.046875,-29.8695,-29.86953655884158,3.655884158249023e-05,YES
DS1,GM,-,0.031290021461638576,[],0.0,-41.4682,-41.468182604364245,-1.7395635758532535e-05,YES
DS1,GM,E,0.05976810097008159,[0.28368348],0.03125,-36.1264,-36.12635290128236,-4.7098717637084064e-05,YES
DS1,GM,F,0.014751145283575632,[0.05895853],0.015625,-31.2135,-31.213460595474828,-3.940452517170456e-05,YES
DS1,GM,C,0.05223892567240035,[0.2753168],0.015625,-35.5428,-35.54277230658417,-2.769341583075402e-05,YES
DS1,GM,EF,0.021396318182251826,[0.1396797 0.0514606],0.046875,-30.0249,-30.02494828688407,4.828688406988135e-05,YES
DS1,GM,FC,0.022243099602300552,[0.05075008 0.08672168],0.03125,-30.8929,-30.892875375590705,-2.4624409295626037e-05,YES
DS1,GM,EC,0.03780634582582438,[0.28647548 0.24437055],0.046875,-30.0796,-30.079633494895006,3.349489500692471e-05,YES
DS1,GM,EFC,0.026191997247367826,[0.21774224 0.03132722 0.17702043],0.09375,-28.4042,-28.404187006937008,-1.2993062991739635e-05,YES
DS2,GM,-,0.10193792260609284,[],0.0,-29.378,-29.37797105776925,-2.8942230748896236e-05,YES
DS2,GM,E,0.0936168292904378,[0.49856936],0.015625,-24.9318,-24.93183587949651,3.587949651162603e-05,YES
DS2,GM,F,-916.0641507445313,[-0.58978995],0.046875,-23.2909,nan,nan,NO
DS2,GM,C,0.07712131602442393,[0.35000826],0.015625,-24.3252,-24.325161624170228,-3.837582977084253e-05,YES
DS2,GM,EF,0.0747718824020126,[0.06552505 0.05366129],0.03125,-23.2695,-23.26950771646107,7.716461070117475e-06,YES
DS2,GM,FC,0.0703260027278898,[0.04467209 0.12881489],0.03125,-23.0125,-23.01250872341857,8.723418570610875e-06,YES
DS2,GM,EC,0.07942312995663746,[0.19881497 0.24491958],0.03125,-24.0937,-24.093693978678026,-6.021321972582427e-06,YES
DS2,GM,EFC,0.06936378714637836,[-0.03643947  0.04664847  0.13732605],0.046875,-23.0067,-23.006729471404846,2.9471404847214444e-05,YES
DS1,NB,-,0.137654931920013,[],0.015625,-36.4099,-36.40994169010381,4.1690103806502066e-05,YES
DS1,NB,E,0.13247065048227868,[0.22086559],0.03125,-32.3074,-32.3074474697039,4.746970390101524e-05,YES
DS1,NB,F,0.07947719918641043,[0.04828137],0.015625,-28.8004,-28.800443705224893,4.3705224893386685e-05,YES
DS1,NB,C,0.12383603755641166,[0.20141395],0.015625,-31.9565,-31.956522065055537,2.2065055539144396e-05,YES
DS1,NB,EF,0.08291406814365601,[0.10265159 0.04161186],0.046875,-28.0523,-28.0523450477381,4.504773810154461e-05,YES
DS1,NB,FC,0.08371666580810522,[0.04068552 0.07896959],0.046875,-28.3737,-28.373660806986237,-3.9193013762428563e-05,YES
DS1,NB,EC,0.10837580601004579,[0.19512124 0.1705835 ],0.0625,-28.9726,-28.972571706298595,-2.829370140489118e-05,YES
DS1,NB,EFC,0.08478873381117501,[0.12707767 0.03063154 0.10213574],0.09375,-27.2874,-27.28736927273755,-3.072726245179069e-05,YES
DS2,NB,-,0.22359296978837634,[],0.0,-30.561,-30.560969274351415,-3.072564858541682e-05,YES
DS2,NB,E,0.15,[0.01],0.03125,-28.059,-33.07533171618828,5.016331716188279,NO
DS2,NB,F,0.17594346539234276,[0.04885447],0.015625,-25.7304,-25.730379350352045,-2.0649647954229522e-05,YES
DS2,NB,C,0.1777510494498416,[0.27312263],0.015625,-26.8069,-26.80690199197071,1.9919707128224218e-06,YES
DS2,NB,EF,0.15,[0.01 0.01],0.03125,-25.5151,-31.164841869327766,5.649741869327766,NO
DS2,NB,FC,0.17139141579749598,[0.03937177 0.08208388],0.03125,-25.5943,-25.594296385461426,-3.6145385742258895e-06,YES
DS2,NB,EC,0.15,[0.01 0.01],0.03125,-26.784,-32.80988215618118,6.025882156181183,NO
DS2,NB,EFC,0.15,[0.01 0.01 0.01],0.046875,-25.0006,-30.923805130173967,5.923205130173969,NO
